,l1_pt,l2_pt,l3_pt,l4_pt,l1_mass,l2_mass,l3_mass,l4_mass,l1_eta,l2_eta,l3_eta,l4_eta,l1_phi,l2_phi,l3_phi,l4_phi,event_type,weight,invariant_mass,invariant_mass_1,invariant_mass_2
0,28.31440544128418,26.43760108947754,21.58993911743164,56.02414321899414,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-1.353759765625,1.1513671875,-0.0789031982421875,-1.678466796875,2.20654296875,1.401611328125,0.9757080078125,-2.1064453125,4Muon,1.0,228.8903403734016,90.49676967914925,92.99216731371877
0,26.06975555419922,103.49602508544922,30.309894561767578,58.04314422607422,0.105712890625,0.105712890625,0.019927978515625,-0.0221710205078125,-1.2998046875,-0.675048828125,-1.383544921875,-1.754150390625,2.32373046875,-0.066070556640625,-0.077911376953125,2.8330078125,2Electron2Muon,1.0,232.5710948919515,102.10706392283666,84.78409237705218
1,27.163009643554688,70.17731475830078,24.519804000854492,59.80496597290039,0.105712890625,0.105712890625,0.105712890625,0.105712890625,1.14208984375,1.30615234375,0.520263671875,-0.21881103515625,-2.66796875,0.7642822265625,0.9163818359375,-1.7841796875,4Muon,1.0,223.04477816732182,86.69742014833153,80.14449268867283
0,27.12394905090332,27.938318252563477,5.445248603820801,26.408143997192383,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-1.036865234375,-0.8900146484375,-1.35400390625,-0.567626953125,-2.3408203125,1.5048828125,1.861572265625,-1.04931640625,4Muon,1.0,88.51516227866229,51.83779165536719,25.713806958803907
1,40.846858978271484,38.81883239746094,14.138433456420898,12.819701194763184,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-0.3448486328125,-0.87255859375,-0.840576171875,-1.2001953125,1.3125,-1.878662109375,1.3798828125,-1.459228515625,4Muon,1.0,111.48837911365223,82.404742321587,27.060320325532057
2,60.96177291870117,29.996200561523438,46.60982131958008,54.69817352294922,0.105712890625,0.105712890625,-0.0116729736328125,-0.03515625,-0.7666015625,-1.56201171875,0.663330078125,1.15234375,-0.764892578125,2.6787109375,-0.96044921875,1.14697265625,2Electron2Muon,1.0,299.0183415201524,91.47791175166266,91.25588629231372
3,28.787879943847656,87.00115966796875,22.782442092895508,95.66197204589844,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-1.75830078125,-1.652587890625,-0.9652099609375,-1.796875,2.0673828125,-1.8994140625,-2.9580078125,0.7996826171875,4Muon,1.0,240.86292825382716,91.84466833090411,97.53256877331567
4,20.261341094970703,75.43294525146484,83.61859893798828,28.73859214782715,0.105712890625,0.105712890625,0.053802490234375,-0.037933349609375,-0.9918212890625,-2.0029296875,-2.25244140625,-2.4326171875,-2.4306640625,0.6710205078125,-2.04443359375,1.979248046875,2Electron2Muon,1.0,223.88891081425223,88.38175466628388,89.10048363848499
5,137.92913818359375,28.047286987304688,125.49038696289062,54.76627731323242,0.105712890625,0.105712890625,-0.031646728515625,0.0180206298828125,1.06689453125,-0.2275390625,0.3031005859375,0.7220458984375,-1.6005859375,-1.1240234375,1.9150390625,0.8125,2Electron2Muon,1.0,377.51018335845004,91.11113479700035,93.62478427809623
0,32.19468688964844,75.21379089355469,51.406734466552734,52.201297760009766,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.018283843994140625,-0.160614013671875,-0.255126953125,-0.9268798828125,2.3955078125,-1.567138671875,1.486572265625,-0.43084716796875,4Muon,1.0,220.63527260616885,90.6693934620505,91.91015111904414
