,l1_pt,l2_pt,l3_pt,l4_pt,l1_mass,l2_mass,l3_mass,l4_mass,l1_eta,l2_eta,l3_eta,l4_eta,l1_phi,l2_phi,l3_phi,l4_phi,event_type,weight,invariant_mass,invariant_mass_1,invariant_mass_2
0,88.07503509521484,10.761184692382812,97.78316497802734,29.579721450805664,0.105712890625,0.105712890625,-0.023773193359375,0.005420684814453125,-0.9862060546875,1.337158203125,0.7423095703125,0.481201171875,0.1134796142578125,0.8323974609375,-3.0771484375,-1.05810546875,2Electron2Muon,1.0,314.70010922856875,91.34172791741163,92.14211149706779
1,33.2606315612793,57.4428825378418,10.469268798828125,22.843873977661133,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-0.182464599609375,0.4810791015625,0.67041015625,0.017360687255859375,-0.38812255859375,2.599609375,-1.680419921875,-2.375,4Muon,1.0,124.83688708584589,92.03131003801712,14.71425531930305
2,53.04514694213867,40.523502349853516,29.411239624023438,47.7595100402832,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.1054534912109375,-0.204681396484375,-1.20361328125,0.11065673828125,-2.15087890625,1.45849609375,-1.50244140625,1.1953125,4Muon,1.0,191.24400397788952,91.3503316369018,90.23727335951227
0,53.05427551269531,16.551563262939453,23.762561798095703,63.69366455078125,0.105712890625,0.105712890625,0.01178741455078125,0.017913818359375,0.1050567626953125,-1.911376953125,-1.639892578125,-0.5743408203125,0.23406982421875,-2.23046875,-0.620361328125,2.86962890625,2Electron2Muon,1.0,200.63772708982498,89.89921661421356,88.08841164137239
1,42.90526580810547,87.09579467773438,51.47725296020508,44.17604446411133,0.105712890625,0.105712890625,-0.055694580078125,0.023895263671875,0.201995849609375,-0.6748046875,1.861572265625,1.1474609375,-2.15478515625,2.78271484375,-2.48046875,-0.47479248046875,2Electron2Muon,1.0,338.8013600470825,94.1656386056726,87.60167432149163
2,46.8834114074707,44.16939163208008,29.602466583251953,34.61250305175781,0.105712890625,0.105712890625,-0.002105712890625,-0.00853729248046875,0.11688232421875,0.30035400390625,-0.83349609375,0.9183349609375,-3.04248046875,-0.05336761474609375,0.8648681640625,-1.86328125,2Electron2Muon,1.0,181.05418927218827,91.1324281507328,89.22642847401808
3,35.06215286254883,28.190961837768555,34.33256149291992,59.844398498535156,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.152801513671875,-1.697265625,-0.7105712890625,-0.832275390625,2.236328125,-0.2874755859375,0.8404541015625,-1.947265625,4Muon,1.0,186.15920952270966,89.7418263531327,89.41096832528417
4,44.1229248046875,47.78115463256836,59.650394439697266,22.701345443725586,0.105712890625,0.105712890625,0.105712890625,0.105712890625,1.753662109375,2.00830078125,0.2774658203125,-1.392333984375,0.742919921875,2.98681640625,2.01220703125,-0.6077880859375,4Muon,1.0,313.24863786184926,83.56174497564898,98.97039916725743
0,63.373878479003906,52.52602767944336,18.278547286987305,109.78376007080078,0.105712890625,0.105712890625,-0.00553131103515625,0.023956298828125,0.9095458984375,1.5302734375,0.24420166015625,0.0889892578125,-0.16943359375,-1.597900390625,1.4833984375,2.69189453125,2Electron2Muon,1.0,284.73887181484747,83.88986064032436,51.37481143216884
1,53.92991638183594,69.65861511230469,114.39944458007812,47.285850524902344,0.105712890625,0.105712890625,0.03790283203125,0.0088653564453125,-0.45538330078125,0.817138671875,-0.7030029296875,-0.6522216796875,0.08270263671875,0.441162109375,-2.58642578125,-1.248046875,2Electron2Muon,1.0,336.64862128907237,86.18195627076271,91.32890373441532
2,48.3950309753418,78.22998809814453,82.71200561523438,13.068183898925781,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.6761474609375,0.8975830078125,0.40264892578125,-1.44775390625,-0.798828125,0.8360595703125,-2.38720703125,1.031982421875,4Muon,1.0,260.2427313471561,90.79243536843462,95.53016923228427
3,18.988201141357422,53.93122100830078,72.34146881103516,26.872713088989258,0.105712890625,0.105712890625,-0.061492919921875,0.02618408203125,-2.16015625,-0.3245849609375,-1.597412109375,-2.07666015625,0.186492919921875,2.42822265625,-0.37567138671875,-2.70654296875,2Electron2Muon,1.0,218.10068381816663,88.63548765398997,83.79672928044623
4,29.911876678466797,37.823280334472656,42.0089111328125,38.16569519042969,0.105712890625,0.105712890625,-0.011016845703125,0.0084991455078125,-0.524169921875,1.03759765625,0.217254638671875,-0.7857666015625,-2.86865234375,0.232330322265625,-1.720703125,1.590576171875,2Electron2Muon,1.0,187.63636066079727,88.8352305001745,90.11100146849034
5,50.45045471191406,38.42573928833008,18.555438995361328,69.6047592163086,0.105712890625,0.105712890625,0.105712890625,0.105712890625,1.473876953125,0.220458984375,0.32196044921875,-1.22607421875,2.3125,-2.12353515625,3.11474609375,-0.8773193359375,4Muon,1.0,298.1831315583062,91.65678329867025,89.7313069170716
0,60.93010330200195,40.747440338134766,28.428037643432617,68.3356704711914,0.105712890625,0.105712890625,-0.004482269287109375,0.01230621337890625,0.5235595703125,0.01441192626953125,-1.867431640625,-0.86181640625,-0.46258544921875,1.638671875,-0.9561767578125,2.97607421875,2Electron2Muon,1.0,273.6483005702656,90.19611729944675,93.56224402764695
1,73.77616882324219,28.528759002685547,18.082103729248047,110.48441314697266,0.105712890625,0.105712890625,-0.005359649658203125,0.051116943359375,0.33428955078125,0.20367431640625,-0.105743408203125,1.40625,-1.545654296875,1.099365234375,1.17724609375,2.46484375,2Electron2Muon,1.0,262.74150339076533,89.14331791203945,91.57228535951168
2,35.92829132080078,38.82473373413086,43.3569450378418,61.207027435302734,0.105712890625,0.105712890625,-0.0169525146484375,-0.01971435546875,-2.1220703125,-0.5386962890625,-0.45745849609375,-0.20379638671875,2.4267578125,-2.08837890625,-1.10400390625,0.983642578125,2Electron2Muon,1.0,230.54784457423938,87.33958005030652,90.0102303663925
0,70.92420196533203,25.18292236328125,26.818891525268555,75.1938247680664,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-0.20355224609375,0.6239013671875,0.734619140625,0.012434005737304688,3.08984375,-0.44390869140625,2.55029296875,-0.0440216064453125,4Muon,1.0,210.68970295079217,90.3738748325443,92.60501313492145
0,84.05164337158203,36.73143005371094,82.99345397949219,21.449748992919922,0.105712890625,0.105712890625,0.105712890625,0.105712890625,1.02099609375,0.6912841796875,0.66650390625,1.741943359375,2.2236328125,-2.2109375,-0.1634521484375,-2.35498046875,4Muon,1.0,236.71953522441711,90.59155394266007,88.86162097152017
1,29.035799026489258,28.260377883911133,38.93541717529297,50.0083122253418,0.105712890625,0.105712890625,-0.0104827880859375,-0.014739990234375,-0.0976715087890625,-2.21337890625,-0.7216796875,-0.7210693359375,-2.57373046875,0.48297119140625,1.386474609375,-1.9716796875,2Electron2Muon,1.0,184.8165020684483,92.41803203030528,87.73493507694835
2,33.89791488647461,25.86480140686035,17.007251739501953,8.256122589111328,0.105712890625,0.105712890625,-0.00560760498046875,0.0008344650268554688,-0.685302734375,-1.499755859375,-1.552490234375,-0.31756591796875,-1.83935546875,2.10498046875,2.27587890625,-2.67919921875,2Muon2Electron,1.0,85.2924629272399,59.885227203339554,21.35680973693606
